timestamp,profile,state,source,in_zone,f_obs_hz,offset_m,distance_to_track_m,lat,lon
1779697364.518866,tractorbeam,adaptive,sim,0,15.846,986.536,13.244,44.999881029092926,11.007097897391805
1779697364.5792055,tractorbeam,adaptive,sim,0,15.846,986.536,13.244,44.99988102907215,11.007097897198234
1779697364.6428924,tractorbeam,adaptive,sim,0,15.846,986.536,13.244,44.99988102904931,11.007097896985305
1779697364.7064712,tractorbeam,adaptive,sim,0,15.846,986.536,13.244,44.99988102902645,11.007097896772374
1779697364.7687752,tractorbeam,adaptive,sim,0,15.809,986.536,13.244,44.99988102900569,11.007097896578799
1779697364.829384,tractorbeam,adaptive,sim,0,15.809,986.536,13.244,44.999881028982834,11.00709789636587
1779697364.8925035,tractorbeam,adaptive,sim,0,15.809,986.536,13.244,44.99988102895999,11.007097896152942
1779697364.9571884,tractorbeam,adaptive,sim,0,15.809,986.536,13.244,44.99988102893714,11.007097895940008
1779697365.0192385,tractorbeam,adaptive,sim,0,15.809,986.536,13.244,44.99988102891429,11.00709789572708
1779697365.0809221,tractorbeam,adaptive,sim,0,15.809,986.536,13.244,44.99988102889145,11.00709789551415
1779697365.1414385,tractorbeam,adaptive,sim,0,15.842,986.536,13.244,44.99988102887068,11.007097895320577
1779697365.204568,tractorbeam,adaptive,sim,0,15.842,986.536,13.244,44.99988102884783,11.007097895107645
1779697365.268946,tractorbeam,adaptive,sim,0,15.842,986.536,13.244,44.99988102882706,11.007097894914072
1779697365.329331,tractorbeam,adaptive,sim,0,15.842,986.536,13.244,44.999881028806286,11.007097894720497
1779697365.394074,tractorbeam,adaptive,sim,0,15.875,986.536,13.244,44.9998810287876,11.007097894546284
1779697365.4543004,tractorbeam,adaptive,sim,0,15.842,986.536,13.244,44.99988102876891,11.007097894372068
1779697365.5143154,tractorbeam,adaptive,sim,0,15.842,986.536,13.244,44.99988102875021,11.007097894197852
1779697365.5812554,tractorbeam,adaptive,sim,0,15.877,986.536,13.244,44.9998810287336,11.007097894042992
1779697365.641397,tractorbeam,adaptive,sim,0,15.877,986.536,13.244,44.99988102871491,11.007097893868776
1779697365.7020578,tractorbeam,adaptive,sim,0,15.877,986.536,13.244,44.999881028700365,11.007097893733278
1779697365.767293,tractorbeam,adaptive,sim,0,15.955,986.536,13.244,44.99988102868581,11.007097893597775
1779697365.8285584,tractorbeam,adaptive,sim,0,15.921,986.536,13.244,44.99988102867543,11.007097893500987
1779697365.8935943,tractorbeam,adaptive,sim,0,15.921,986.536,13.244,44.99988102866505,11.007097893404202
1779697365.9547894,tractorbeam,adaptive,sim,0,15.921,986.536,13.244,44.99988102865466,11.007097893307416
1779697366.015942,tractorbeam,adaptive,sim,0,16.195,986.536,13.244,44.99988102864636,11.007097893229986
1779697366.075685,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.99988102863805,11.007097893152558
1779697366.1400034,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.999881028631826,11.007097893094485
1779697366.2059329,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.999881028627655,11.00709789305577
1779697366.2646294,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.99988102862351,11.007097893017056
1779697366.3306193,tractorbeam,adaptive,sim,0,16.404,986.536,13.244,44.999881028619356,11.00709789297834
1779697366.390698,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.99988102861728,11.007097892958983
1779697366.456893,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.9998810286152,11.007097892939628
1779697366.5155504,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.9998810286152,11.007097892939628
1779697366.5801802,tractorbeam,adaptive,sim,0,16.434,986.536,13.244,44.99988102861728,11.007097892958983
1779697366.6399093,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.999881028619356,11.00709789297834
1779697366.7050562,tractorbeam,adaptive,sim,0,16.434,986.536,13.244,44.99988102862143,11.007097892997695
1779697366.764126,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.99988102862559,11.007097893036413
1779697366.828608,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.99988102862974,11.007097893075128
1779697366.892575,tractorbeam,adaptive,sim,0,16.317,986.536,13.244,44.99988102863389,11.007097893113842
1779697366.9526818,tractorbeam,adaptive,sim,0,15.908,986.536,13.244,44.99988102864012,11.007097893171913
1779697367.0142312,tractorbeam,adaptive,sim,0,15.908,986.536,13.244,44.99988102864636,11.007097893229986
1779697367.0786958,tractorbeam,adaptive,sim,0,16.297,986.536,13.244,44.99988102865466,11.007097893307416
1779697367.1394386,tractorbeam,adaptive,sim,0,15.908,986.536,13.244,44.99988102866298,11.007097893384845
1779697367.2025125,tractorbeam,adaptive,sim,0,16.297,986.536,13.244,44.99988102867128,11.007097893462275
1779697367.2648113,tractorbeam,adaptive,sim,0,16.045,986.536,13.244,44.99988102867959,11.007097893539703
1779697367.3286371,tractorbeam,adaptive,sim,0,16.035,986.536,13.244,44.99988102868996,11.00709789363649
1779697367.3922076,tractorbeam,adaptive,sim,0,15.721,986.536,13.244,44.999881028698276,11.007097893713919
1779697367.4515743,tractorbeam,adaptive,sim,0,16.139,986.536,13.244,44.99988102871074,11.007097893830062
1779697367.5136006,tractorbeam,adaptive,sim,0,16.139,986.536,13.244,44.99988102872113,11.007097893926849
1779697367.5768845,tractorbeam,adaptive,sim,0,15.957,986.536,13.244,44.999881028731515,11.007097894023635
1779697367.6405349,tractorbeam,adaptive,sim,0,15.957,986.536,13.244,44.99988102874606,11.007097894159138
1779697367.7037084,tractorbeam,adaptive,sim,0,15.957,986.536,13.244,44.999881028758516,11.00709789427528
1779697367.7639585,tractorbeam,adaptive,sim,0,15.957,986.536,13.244,44.99988102877097,11.007097894391423
1779697367.827561,tractorbeam,adaptive,sim,0,15.957,986.536,13.244,44.99988102878137,11.007097894488211
1779697367.8907754,tractorbeam,adaptive,sim,0,15.957,986.536,13.244,44.99988102879382,11.007097894604357
1779697367.9518294,tractorbeam,adaptive,sim,0,15.957,986.536,13.244,44.999881028806286,11.007097894720497
1779697368.013024,tractorbeam,adaptive,sim,0,15.957,986.536,13.244,44.99988102881875,11.007097894836642
1779697368.0765557,tractorbeam,adaptive,sim,0,15.841,986.536,13.244,44.99988102883121,11.007097894952786
1779697368.1400874,tractorbeam,adaptive,sim,0,15.841,986.536,13.244,44.999881028843674,11.00709789506893
1779697368.2010064,tractorbeam,adaptive,sim,0,15.841,986.536,13.244,44.99988102885406,11.007097895165716
1779697368.2643738,tractorbeam,adaptive,sim,0,15.841,986.536,13.244,44.99988102886652,11.007097895281861
1779697368.328781,tractorbeam,adaptive,sim,0,15.807,986.536,13.244,44.99988102887899,11.007097895398005
1779697368.389174,tractorbeam,adaptive,sim,0,15.807,986.536,13.244,44.99988102889145,11.00709789551415
1779697368.4538682,tractorbeam,adaptive,sim,0,15.807,986.536,13.244,44.99988102890183,11.007097895610935
1779697368.5146925,tractorbeam,adaptive,sim,0,15.767,986.536,13.244,44.99988102891429,11.00709789572708
1779697368.5755436,tractorbeam,adaptive,sim,0,15.767,986.536,13.244,44.99988102892468,11.007097895823867
1779697368.6391087,tractorbeam,adaptive,sim,0,15.807,986.536,13.244,44.99988102893714,11.007097895940008
1779697368.7029235,tractorbeam,adaptive,sim,0,15.767,986.536,13.244,44.999881028947534,11.007097896036795
1779697368.7640243,tractorbeam,adaptive,sim,0,15.767,986.536,13.244,44.9998810289579,11.007097896133581
1779697368.8257196,tractorbeam,adaptive,sim,0,15.767,986.536,13.244,44.999881028968304,11.007097896230368
1779697368.8886907,tractorbeam,adaptive,sim,0,15.772,986.536,13.244,44.99988102897869,11.007097896327155
1779697368.9522872,tractorbeam,adaptive,sim,0,15.772,986.536,13.244,44.999881028987,11.007097896404586
1779697369.0135863,tractorbeam,adaptive,sim,0,15.772,986.536,13.244,44.999881028997386,11.00709789650137
